Country,Cases,Deaths,Recovered,Active Cases,Critical Cases
UAE,1067030,2349,0,1064681,0
UK,24910387,232112,24676614,1661,0
USA,111769834,1218856,109712052,838926,1058
Uganda,172149,3632,100431,68086,0
Ukraine,5557995,112418,5445577,0,0
Uruguay,1041111,7664,1030944,2503,18
Uzbekistan,253662,1637,241486,10539,23
Vanuatu,12019,14,11976,29,0
Venezuela,552695,5856,546537,302,31
Vietnam,11625195,43206,10640971,941018,0
Wallis and Futuna,3550,8,438,3104,0
Western Sahara,10,1,9,0,0
Yemen,11945,2159,9124,662,0
Zambia,349304,4069,341316,3919,0
Zimbabwe,266359,5740,258888,1731,12
